股票代码,股票简称,个股热度[20251224],个股热度排名[20251224],market_code,code,最新价,最新涨跌幅
000802.SZ,北京文化,134860.5,76,33,000802,5.23,10.105263157894745
002235.SZ,安妮股份,134073.5,77,33,002235,11.02,0.7312614259597813
002131.SZ,利欧股份,133494.5,78,33,002131,5.24,2.9469548133595356
002596.SZ,海南瑞泽,133363.5,79,33,002596,6.22,-4.0123456790123555
301667.SZ,纳百川,132900.5,80,33,301667,82.73,-28.060869565217388
002363.SZ,隆基机械,130349.5,81,33,002363,9.37,9.97652582159624
603163.SH,圣晖集成,130026.5,82,17,603163,78.11,9.998591747641168
605090.SH,九丰能源,129251.5,83,17,605090,40.37,9.999999999999984
002364.SZ,中恒电气,126585.5,84,33,002364,27.67,10.019880715705778
601212.SH,白银有色,126029.0,85,17,601212,5.89,3.697183098591549
600580.SH,卧龙电驱,125018.5,86,17,600580,43.89,1.245674740484427
002702.SZ,海欣食品,124904.5,87,33,002702,9.08,-2.365591397849469
603248.SH,锡华科技,124453.0,88,17,603248,26.01,-29.339853300733495
601869.SH,长飞光纤,124025.0,89,17,601869,130.5,3.5139208376298936
002413.SZ,雷科防务,123733.5,90,33,002413,8.95,3.8283062645011614
002961.SZ,瑞达期货,122689.0,91,33,002961,29.21,10.018832391713747
002036.SZ,联创电子,121758.0,92,33,002036,,
300300.SZ,海峡创新,121160.5,93,33,300300,17.33,6.646153846153836
300887.SZ,谱尼测试,120391.0,94,33,300887,9.32,19.94851994851996
002080.SZ,中材科技,120281.5,95,33,002080,40.36,6.462674756001063
000566.SZ,海南海药,119481.5,96,33,000566,8.28,-5.479452054794526
603083.SH,剑桥科技,119210.5,97,17,603083,129.11,7.350128876694121
301123.SZ,奕东电子,117496.0,98,33,301123,74.0,2.026747552736797
002910.SZ,庄园牧场,115886.0,99,33,002910,12.2,-9.96309963099632
300456.SZ,赛微电子,114402.0,100,33,300456,61.0,-0.4893964110929807
300223.SZ,北京君正,113923.5,101,33,300223,107.19,8.054435483870963
600515.SH,海南机场,113387.5,102,17,600515,5.43,0.7421150278293143
002427.SZ,尤夫股份,111540.0,103,33,002427,6.79,10.048622366288495
603123.SH,翠微股份,109920.5,104,17,603123,14.07,4.609665427509301
603278.SH,大业股份,109184.5,105,17,603278,10.58,9.979209979209989
605007.SH,五洲特纸,108833.0,106,17,605007,12.9,9.974424552429667
000657.SZ,中钨高新,105753.0,107,33,000657,29.41,-5.31229877656149
000572.SZ,海马汽车,105080.5,108,33,000572,8.98,-1.965065502183403
002829.SZ,星网宇达,103724.5,109,33,002829,30.06,9.98902305159166
601399.SH,国机重装,103108.0,110,17,601399,5.2,-0.7633587786259548
600487.SH,亨通光电,102993.5,111,17,600487,26.93,2.747043113315524
603678.SH,火炬电子,100944.5,112,17,603678,36.14,10.015220700152202
002324.SZ,普利特,100788.0,113,33,002324,14.42,9.99237223493517
600838.SH,上海九百,98752.5,114,17,600838,11.4,-5.158069883527448
002202.SZ,金风科技,97706.5,115,33,002202,17.43,2.2287390029325453
002682.SZ,龙洲股份,97674.0,116,33,002682,8.27,0.8536585365853694
600734.SH,实达集团,96926.5,117,17,600734,4.92,3.797468354430374
603879.SH,永悦科技,96263.5,118,17,603879,6.0,10.091743119266052
605598.SH,上海港湾,95473.5,119,17,605598,56.27,10.009775171065503
002166.SZ,莱茵生物,95402.0,120,33,002166,9.57,10.000000000000012
002951.SZ,金时科技,95177.5,121,33,002951,15.29,9.999999999999991
688795.SH,摩尔线程,95106.0,122,17,688795,634.01,-6.322399527186756
688805.SH,健信超导,94701.5,123,17,688805,58.12,212.80947255113026
600089.SH,特变电工,93324.5,124,17,600089,23.12,0.5654632448890934
002709.SZ,天赐材料,92585.5,125,33,002709,43.53,2.4958794443136387
300377.SZ,赢时胜,92507.5,126,33,300377,23.22,5.737704918032778
000677.SZ,恒天海龙,91586.5,127,33,000677,4.53,9.951456310679616
002008.SZ,大族激光,91475.5,128,33,002008,41.58,8.337675872850431
002378.SZ,章源钨业,91355.0,129,33,002378,15.0,-7.7490774907749165
000559.SZ,万向钱潮,90225.0,130,33,000559,12.22,3.9115646258503474
300274.SZ,阳光电源,89883.0,131,33,300274,165.88,-1.2560271444728934
600376.SH,首开股份,89657.0,132,17,600376,5.38,2.6717557251908333
300395.SZ,菲利华,89157.0,133,33,300395,108.95,5.571705426356589
603929.SH,亚翔集成,88388.0,134,17,603929,107.29,-0.9417412981257465
603069.SH,海汽集团,88259.5,135,17,603069,29.24,1.2465373961218817
603311.SH,金海高科,88218.5,136,17,603311,14.88,9.977827050997794
603090.SH,宏盛股份,88195.0,137,17,603090,61.67,10.007135212272564
300118.SZ,东方日升,87544.0,138,33,300118,14.08,10.604870384917515
601698.SH,中国卫通,87247.0,139,17,601698,24.56,4.466184602296883
601279.SH,英利汽车,87231.5,140,17,601279,5.51,9.980039920159681
601899.SH,紫金矿业,86018.0,141,17,601899,32.31,0.6855718292302861
002245.SZ,蔚蓝锂芯,85368.5,142,33,002245,17.65,6.453558504221957
600110.SH,诺德股份,85062.0,143,17,600110,7.48,6.40113798008535
003016.SZ,欣贺股份,84627.0,144,33,003016,10.33,10.010649627263039
603986.SH,兆易创新,84220.5,145,17,603986,224.1,3.091360750759039
688802.SH,沐曦股份,83332.0,146,17,688802,620.66,-7.0311563810665145
688981.SH,中芯国际,83215.5,147,17,688981,123.41,2.9274395329441125
002104.SZ,恒宝股份,82702.5,148,33,002104,19.98,3.0959752321981497
600601.SH,方正科技,82603.0,149,17,600601,12.47,2.296964725184587
002134.SZ,天津普林,82493.0,150,33,002134,25.52,10.000000000000002
002044.SZ,美年健康,81216.5,151,33,002044,5.42,-1.2750455373406244
300502.SZ,新易盛,80408.0,152,33,300502,453.51,-0.980349344978168
002241.SZ,歌尔股份,79360.5,153,33,002241,28.99,4.093357271095142
300446.SZ,航天智造,79316.5,154,33,300446,25.03,6.465333900467884
603212.SH,赛伍技术,78881.5,155,17,603212,15.0,7.142857142857143
001336.SZ,楚环科技,77477.5,156,33,001336,28.67,-9.98430141287284
601179.SH,中国西电,76955.0,157,17,601179,9.56,-1.4432989690721525
002475.SZ,立讯精密,76637.5,158,33,002475,59.29,2.1360895779500466
002300.SZ,太阳电缆,76550.5,159,33,002300,10.03,3.722854188210956
600962.SH,国投中鲁,75405.0,160,17,600962,23.43,9.999999999999995
300750.SZ,宁德时代,75290.5,161,33,300750,375.6,-0.6612007405448294
600990.SH,四创电子,74882.0,162,17,600990,32.75,6.886422976501303
300476.SZ,胜宏科技,74864.0,163,33,300476,309.28,0.41558441558440673
002796.SZ,世嘉科技,74605.0,164,33,002796,28.53,7.66037735849057
603757.SH,大元泵业,74601.0,165,17,603757,48.35,-2.716297786720325
000905.SZ,厦门港务,74077.5,166,33,000905,14.2,3.5740335521517026
300414.SZ,中光防雷,74062.0,167,33,300414,16.12,3.7323037323037442
002272.SZ,川润股份,73810.5,168,33,002272,15.86,-0.3768844221105559
600519.SH,贵州茅台,73696.5,169,17,600519,1400.9,-0.4943673376614017
600475.SH,华光环能,73685.0,170,17,600475,19.1,10.02304147465439
603528.SH,多伦科技,73572.5,171,17,603528,10.62,6.093906093906089
002083.SZ,孚日股份,73467.0,172,33,002083,11.41,3.445149592021766
000977.SZ,浪潮信息,73221.5,173,33,000977,66.5,2.3076923076923075
000070.SZ,特发信息,72516.5,174,33,000070,12.58,2.5264873675631665
920680.BJ,广道退,72489.0,175,151,920680,1.32,29.411764705882355
600362.SH,江西铜业,72471.0,176,17,600362,43.1,2.4239543726235815
688456.SH,有研粉材,71829.5,177,17,688456,64.14,19.999999999999996
002460.SZ,赣锋锂业,71571.0,178,33,002460,66.79,0.6479807112718607
601133.SH,柏诚股份,71536.0,179,17,601133,17.48,-2.0728291316526666
002164.SZ,宁波东力,71032.0,180,33,002164,15.46,-10.011641443538993
605069.SH,正和生态,70780.0,181,17,605069,11.86,10.018552875695734
002463.SZ,沪电股份,70575.0,182,33,002463,73.21,2.50630075609072
000901.SZ,航天科技,70452.5,183,33,000901,23.05,3.4096007178106844
600730.SH,中国高科,70009.0,184,17,600730,11.78,-8.611326609775027
002240.SZ,盛新锂能,69527.5,185,33,002240,35.67,-0.6959910913140311
002549.SZ,凯美特气,69410.0,186,33,002549,22.13,-0.225428313796216
002643.SZ,万润股份,69241.5,187,33,002643,15.79,-3.601953601953601
301308.SZ,江波龙,69161.0,188,33,301308,255.44,5.266628204071541
000546.SZ,金圆股份,69115.0,189,33,000546,7.13,-3.1250000000000058
002426.SZ,胜利精密,67703.0,190,33,002426,3.51,7.01219512195122
300189.SZ,神农种业,67534.0,191,33,300189,7.9,1.4120667522464738
600800.SH,渤海化学,67433.5,192,17,600800,3.73,-9.024390243902431
603019.SH,中科曙光,67416.5,193,17,603019,87.15,-0.5817932922655612
300726.SZ,宏达电子,67351.5,194,33,300726,56.25,6.433301797540206
002519.SZ,银河电子,67282.5,195,33,002519,5.86,4.45632798573975
600699.SH,均胜电子,66951.5,196,17,600699,29.34,0.5138746145940342
600498.SH,烽火通信,66696.0,197,17,600498,27.75,1.2773722627737278
002466.SZ,天齐锂业,66594.0,198,33,002466,56.26,0.8605234851201091
300762.SZ,上海瀚讯,66591.0,199,33,300762,35.59,7.328106151990371
002342.SZ,巨力索具,65309.0,200,33,002342,7.49,5.790960451977403
601696.SH,中银证券,64841.0,201,17,601696,15.0,3.092783505154634
000735.SZ,罗牛山,64378.5,202,33,000735,10.15,-3.056351480420251
301232.SZ,飞沃科技,64093.5,203,33,301232,122.0,14.221514839434507
002827.SZ,高争民爆,63915.0,204,33,002827,41.68,8.428720083246624
003007.SZ,直真科技,63768.0,205,33,003007,35.46,9.987593052109178
000078.SZ,海王生物,63572.5,206,33,000078,3.7,-0.537634408602151
601106.SH,中国一重,63530.5,207,17,601106,4.07,0.0
300661.SZ,圣邦股份,63510.5,208,33,300661,69.32,6.335327504218432
000407.SZ,胜利股份,63401.5,209,33,000407,5.07,4.968944099378886
601566.SH,九牧王,63090.5,210,17,601566,15.46,0.7166123778501707
002329.SZ,皇氏集团,62649.5,211,33,002329,4.57,2.696629213483148
002885.SZ,京泉华,62280.0,212,33,002885,28.45,6.1567164179104426
603305.SH,旭升集团,62068.5,213,17,603305,13.98,-4.115226337448557
603097.SH,江苏华辰,61809.5,214,17,603097,30.42,10.018083182640158
300123.SZ,亚光科技,61650.5,215,33,300123,7.81,9.691011235955049
300427.SZ,红相股份,61648.0,216,33,300427,12.92,5.988515176374081
600221.SH,海航控股,60938.0,217,17,600221,1.79,-0.555555555555556
600745.SH,闻泰科技,60925.0,218,17,600745,38.22,-0.6498570314530804
002512.SZ,达华智能,60882.5,219,33,002512,5.92,3.4965034965035
600271.SH,航天信息,60874.5,220,17,600271,10.01,2.351738241308798
301511.SZ,德福科技,60477.5,221,33,301511,39.31,2.156964656964671
002842.SZ,翔鹭钨业,60472.5,222,33,002842,14.08,-6.63129973474801
002947.SZ,恒铭达,59993.0,223,33,002947,51.98,10.010582010582004
603228.SH,景旺电子,59792.0,224,17,603228,76.6,6.315058986814709
300059.SZ,东方财富,59666.5,225,33,300059,23.2,0.7819287576020839
300394.SZ,天孚通信,59376.0,226,33,300394,223.07,0.3554075940255498
603031.SH,安孚科技,59136.5,227,17,603031,49.86,8.15618221258134
300900.SZ,广联航空,59135.0,228,33,300900,26.01,11.583011583011595
600237.SH,铜峰电子,59048.0,229,17,600237,9.52,3.3659066232355994
605358.SH,立昂微,59037.0,230,17,605358,37.31,1.275787187839302
002335.SZ,科华数据,59024.5,231,33,002335,56.91,3.17258883248731
000985.SZ,大庆华科,58946.5,233,33,000985,21.68,9.994926433282592
601012.SH,隆基绿能,58946.5,232,17,601012,18.13,0.6104328523862343
603256.SH,宏和科技,58150.5,234,17,603256,37.99,1.9318486718540349
605255.SH,天普股份,57909.5,235,17,605255,155.6,3.6228023441662214
002491.SZ,通鼎互联,57683.0,236,33,002491,6.55,0.0
301217.SZ,铜冠铜箔,57681.5,237,33,301217,37.2,2.7056874654886913
002594.SZ,比亚迪,57411.5,238,33,002594,94.42,-0.4113490138171085
002281.SZ,光迅科技,57260.5,239,33,002281,71.12,0.5371783997738333
600761.SH,安徽合力,57147.0,240,17,600761,21.38,9.979423868312745
603626.SH,科森科技,57095.0,241,17,603626,15.71,7.308743169398909
601366.SH,利群股份,56786.0,242,17,601366,5.31,-2.2099447513812174
301449.SZ,天溯计量,56590.5,243,33,301449,75.83,-24.928224928224935
000032.SZ,深桑达A,56349.5,244,33,000032,20.72,6.584362139917682
002414.SZ,高德红外,56195.5,245,33,002414,15.51,2.106649111257408
002510.SZ,天汽模,56165.5,246,33,002510,7.43,3.194444444444438
002735.SZ,王子新材,56104.5,247,33,002735,16.88,2.1791767554479384
600895.SH,张江高科,55977.5,248,17,600895,40.53,3.1297709923664225
