股票代码,股票简称,最新价,最新涨跌幅,涨停[20260210],首次涨停时间[20260210],最终涨停时间[20260210],涨停明细数据[20260210],连续涨停天数[20260210],涨停原因类别[20260210],涨停封单量[20260210],涨停封单额[20260210],涨停封单量占成交量比[20260210],涨停封单量占流通a股比[20260210],涨停开板次数[20260210],a股市值(不含限售股)[20260210],几天几板[20260210],涨停类型[20260210],market_code,code
000818.SZ,航锦科技,23.62,10.01397298556126,涨停, 10:45:36, 10:45:36,"[{""code"":""000818.SZ"",""time"":1770691536879,""openTime"":null,""duration"":9846585,""updatedTime"":1770706800000,""firstVol"":7.3586318E7,""highestVol"":7.8531118E7,""firstVolDivLTGB"":0.11179738552067309,""firstVolDivVol"":1.6401764141573543,""highestVolDivLTGB"":0.11930986510855822,""highestVolDivVol"":1.7194707529917883}]",1,算力租赁+800G光模块+化工+武汉国资,9525443,224990963.66,16.970972790604595,1.447170686439559,0,15546954189.18,首板涨停,放量涨停,33,000818
000839.SZ,国安股份,3.27,10.101010101010095,涨停, 09:51:00, 09:54:45,"[{""code"":""000839.SZ"",""time"":1770688260177,""openTime"":1770688395179,""duration"":135002,""updatedTime"":1770688395179,""firstVol"":2.28191E8,""highestVol"":2.28191E8,""firstVolDivLTGB"":0.05821456858250133,""firstVolDivVol"":2.1483877446384736,""highestVolDivLTGB"":0.05821456858250133,""highestVolDivVol"":2.1483877446384736},{""code"":""000839.SZ"",""time"":1770688485179,""openTime"":null,""duration"":12898285,""updatedTime"":1770706800000,""firstVol"":1.844156E8,""highestVol"":1.844156E8,""firstVolDivLTGB"":0.047046879999137266,""firstVolDivVol"":1.2599064919662135,""highestVolDivLTGB"":0.047046879999137266,""highestVolDivVol"":1.2599064919662135}]",1,AI数据标注+业绩预增+央企背景,6910400,22597008.0,2.9902482441746434,0.17629352372903279,1,12817832171.04,首板涨停,放量涨停,33,000839
000859.SZ,国风新材,11.66,10.000000000000005,涨停, 09:47:30, 09:48:15,"[{""code"":""000859.SZ"",""time"":1770688050144,""openTime"":1770688080144,""duration"":30000,""updatedTime"":1770688080144,""firstVol"":9.466322E7,""highestVol"":9.466322E7,""firstVolDivLTGB"":0.10565972750644735,""firstVolDivVol"":2.3978047737083497,""highestVolDivLTGB"":0.10565972750644735,""highestVolDivVol"":2.3978047737083497},{""code"":""000859.SZ"",""time"":1770688095144,""openTime"":null,""duration"":13288320,""updatedTime"":1770706800000,""firstVol"":1.17153078E8,""highestVol"":1.22374378E8,""firstVolDivLTGB"":0.13076210906433958,""firstVolDivVol"":2.2358826044945155,""highestVolDivLTGB"":0.13658993887225668,""highestVolDivVol"":2.1563921700724795}]",1,光刻胶+拟收购金张科技+合肥国资,11867900,138379714.0,14.971535739664246,1.3246528906092214,1,10446488659.86,首板涨停,缩量涨停,33,000859
000892.SZ,欢瑞世纪,8.97,10.061349693251536,涨停, 09:30:00, 09:30:00,"[{""code"":""000892.SZ"",""time"":1770687000000,""openTime"":null,""duration"":14383464,""updatedTime"":1770706800000,""firstVol"":1.746755E8,""highestVol"":1.746755E8,""firstVolDivLTGB"":0.24573233268647193,""firstVolDivVol"":72.22472606987802,""highestVolDivLTGB"":0.24573233268647193,""highestVolDivVol"":72.22472606987802}]",2,AIGC短剧+影视制作+春节档,33903600,304115292.0,352.54921126789856,4.769535919158137,0,6376202992.38,2天2板,一字涨停||缩量涨停,33,000892
001330.SZ,博纳影业,12.47,9.964726631393306,涨停, 09:32:45, 09:32:45,"[{""code"":""001330.SZ"",""time"":1770687165090,""openTime"":null,""duration"":14218374,""updatedTime"":1770706800000,""firstVol"":9.80266E7,""highestVol"":1.072958E8,""firstVolDivLTGB"":0.07131702154795412,""firstVolDivVol"":1.3715856749158963,""highestVolDivLTGB"":0.07806061702236919,""highestVolDivVol"":1.4502579492182237}]",2,AI短剧+春节档IP+影视院线,35980312,448674490.64000005,42.89455886404557,2.6176657011526587,0,17140251730.48,2天2板,缩量涨停,33,001330
002082.SZ,万邦德,18.59,10.000000000000007,涨停, 10:10:15, 10:10:15,"[{""code"":""002082.SZ"",""time"":1770689415253,""openTime"":null,""duration"":11968211,""updatedTime"":1770706800000,""firstVol"":3.80701E7,""highestVol"":3.80701E7,""firstVolDivLTGB"":0.06881138532875204,""firstVolDivVol"":2.2051745295191116,""highestVolDivLTGB"":0.06881138532875204,""highestVolDivVol"":2.2051745295191116}]",1,阿尔茨海默+孤儿药+创新药+AI应用,5271988,98006256.92,26.08100753654775,0.9529073937724273,0,10284971819.98,首板涨停,放量涨停,33,002082
002159.SZ,三特索道,18.37,10.00000000000001,涨停, 10:43:34, 14:53:50,"[{""code"":""002159.SZ"",""time"":1770691414670,""openTime"":1770706415119,""duration"":9583913,""updatedTime"":1770706415119,""firstVol"":2.56909E7,""highestVol"":2.56909E7,""firstVolDivLTGB"":0.18553061663197495,""firstVolDivVol"":1.8408234333127929,""highestVolDivLTGB"":0.18553061663197495,""highestVolDivVol"":1.8408234333127929},{""code"":""002159.SZ"",""time"":1770706430119,""openTime"":null,""duration"":369881,""updatedTime"":1770706800000,""firstVol"":9100.0,""highestVol"":518800.0,""firstVolDivLTGB"":6.571698972597192E-5,""firstVolDivVol"":4.148261604875803E-4,""highestVolDivLTGB"":0.003746590579102663,""highestVolDivVol"":0.0236168140062092}]",1,旅游客运索道+国企改革+千岛湖项目,181700,3337829.0,0.8059400934127593,0.1312173300352648,1,2543740982.31,首板涨停,放量涨停,33,002159
002181.SZ,粤传媒,13.23,9.97506234413966,涨停, 14:39:48, 14:39:48,"[{""code"":""002181.SZ"",""time"":1770705588695,""openTime"":null,""duration"":1211305,""updatedTime"":1770706800000,""firstVol"":5.8645861E7,""highestVol"":5.8645861E7,""firstVolDivLTGB"":0.05169144384369116,""firstVolDivVol"":0.4062154237964006,""highestVolDivLTGB"":0.05169144384369116,""highestVolDivVol"":0.4062154237964006}]",1,AI营销+全运会IP+广州国资,20462092,270713477.16,13.210938773404132,1.803563050327528,0,15009925885.92,首板涨停,放量涨停,33,002181
002292.SZ,奥飞娱乐,10.88,10.010111223458042,涨停, 11:17:38, 11:17:38,"[{""code"":""002292.SZ"",""time"":1770693458229,""openTime"":null,""duration"":7925235,""updatedTime"":1770706800000,""firstVol"":1.4406038E8,""highestVol"":1.4406038E8,""firstVolDivLTGB"":0.1415313878987929,""firstVolDivVol"":0.8388639531746748,""highestVolDivLTGB"":0.1415313878987929,""highestVolDivVol"":0.8388639531746748}]",1,AI玩具+IP经济+影视院线,10101101,109899978.88000001,4.7013586166871155,0.9923775321402629,0,11074412239.36,首板涨停,放量涨停,33,002292
002302.SZ,西部建设,6.72,9.983633387888696,涨停, 14:45:52, 14:45:52,"[{""code"":""002302.SZ"",""time"":1770705952127,""openTime"":null,""duration"":847873,""updatedTime"":1770706800000,""firstVol"":4.55198E7,""highestVol"":7.1259649E7,""firstVolDivLTGB"":0.03605944848903529,""firstVolDivVol"":1.4217647845368782,""highestVolDivLTGB"":0.0564498008001405,""highestVolDivVol"":2.022579805017351}]",1,火箭基地签约+预拌混凝土+央企,26376045,177247022.4,59.44398200799428,2.089432809507021,0,8483020922.88,首板涨停,放量涨停,33,002302
