股票代码,股票简称,最新价,最新涨跌幅,涨停[20260210],首次涨停时间[20260210],最终涨停时间[20260210],涨停明细数据[20260210],连续涨停天数[20260210],涨停原因类别[20260210],涨停封单量[20260210],涨停封单额[20260210],涨停封单量占成交量比[20260210],涨停封单量占流通a股比[20260210],涨停开板次数[20260210],a股市值(不含限售股)[20260210],几天几板[20260210],涨停类型[20260210],market_code,code
002323.SZ,雅博股份,2.16,10.20408163265307,涨停, 09:41:15, 10:03:30,"[{""code"":""002323.SZ"",""time"":1770687675092,""openTime"":1770688755184,""duration"":1080092,""updatedTime"":1770688755184,""firstVol"":1.7029594E8,""highestVol"":1.7713384E8,""firstVolDivLTGB"":0.0803138048256631,""firstVolDivVol"":0.6432066766369225,""highestVolDivLTGB"":0.08353864838927008,""highestVolDivVol"":0.6653827845806733},{""code"":""002323.SZ"",""time"":1770688860217,""openTime"":1770688995249,""duration"":135032,""updatedTime"":1770688995249,""firstVol"":4.8138951E7,""highestVol"":5.1760651E7,""firstVolDivLTGB"":0.022702962355568544,""firstVolDivVol"":0.13608104399219487,""highestVolDivLTGB"":0.024411003703689375,""highestVolDivVol"":0.1459767511257709},{""code"":""002323.SZ"",""time"":1770689010249,""openTime"":null,""duration"":12373215,""updatedTime"":1770706800000,""firstVol"":1.30952E7,""highestVol"":5.62203E7,""firstVolDivLTGB"":0.0061758685318805805,""firstVolDivVol"":0.03563144527832332,""highestVolDivLTGB"":0.026514232819879482,""highestVolDivVol"":0.1528529392101232}]",2,光伏建筑一体化+光伏设备+枣庄国资,21841991,47178700.56,5.407540596393694,1.0300970194462005,2,4580024955.84,2天2板,放量涨停,33,002323
002429.SZ,兆驰股份,11.37,9.96131528046421,涨停, 09:30:00, 09:30:00,"[{""code"":""002429.SZ"",""time"":1770687000000,""openTime"":null,""duration"":14383464,""updatedTime"":1770706800000,""firstVol"":6991700.0,""highestVol"":6.1845E7,""firstVolDivLTGB"":0.0015453548561044496,""firstVolDivVol"":0.3934331213775252,""highestVolDivLTGB"":0.01366941817809398,""highestVolDivVol"":1.754283947500546}]",2,CPO+AI应用+MiniLED+深圳国资,17784845,202213687.64999998,39.48900975865533,0.39309319029441964,0,51441666414.66,2天2板,一字涨停||缩量涨停,33,002429
002455.SZ,百川股份,13.48,10.040816326530615,涨停, 09:30:00, 09:30:00,"[{""code"":""002455.SZ"",""time"":1770687000000,""openTime"":null,""duration"":14383464,""updatedTime"":1770706800000,""firstVol"":2.7023962E7,""highestVol"":2.8242962E7,""firstVolDivLTGB"":0.05204625681519671,""firstVolDivVol"":8.860495524827062,""highestVolDivLTGB"":0.054393965380570085,""highestVolDivVol"":7.475761116249129}]",3,锂电闭环+TMP涨价+负极产能,19121200,257753776.0,209.83203297579993,3.6826091074829788,0,6999216275.12,10天7板,一字涨停||缩量涨停,33,002455
002485.SZ,ST雪发,4.81,5.021834061135361,涨停, 09:30:30, 09:30:30,"[{""code"":""002485.SZ"",""time"":1770687030090,""openTime"":null,""duration"":14353374,""updatedTime"":1770706800000,""firstVol"":780260.0,""highestVol"":3562760.0,""firstVolDivLTGB"":0.0014343014705882353,""firstVolDivVol"":0.3166588204736936,""highestVolDivLTGB"":0.006549191176470588,""highestVolDivVol"":1.3441131198503002}]",2,文旅复苏+ST摘帽预期+供应链扩张,1780800,8565648.0,59.85801871571474,0.32735294117647057,0,2616640000.0,2天2板,缩量涨停,33,002485
002597.SZ,金禾实业,26.22,9.983221476510062,涨停, 13:00:23, 13:12:38,"[{""code"":""002597.SZ"",""time"":1770699623268,""openTime"":1770699728268,""duration"":105000,""updatedTime"":1770699728268,""firstVol"":5891996.0,""highestVol"":5891996.0,""firstVolDivLTGB"":0.010394848958596149,""firstVolDivVol"":0.3049491963196147,""highestVolDivLTGB"":0.010394848958596149,""highestVolDivVol"":0.3049491963196147},{""code"":""002597.SZ"",""time"":1770700358275,""openTime"":null,""duration"":6441725,""updatedTime"":1770706800000,""firstVol"":2.1259151E7,""highestVol"":2.1259151E7,""firstVolDivLTGB"":0.03750607835324197,""firstVolDivVol"":0.8019261103083986,""highestVolDivLTGB"":0.03750607835324197,""highestVolDivVol"":0.8019261103083986}]",1,三氯蔗糖饲料+固态电池+甜味剂龙头,900735,23617271.7,2.5899764760372936,0.15891056743285473,1,14861989407.96,首板涨停,放量涨停,33,002597
002655.SZ,共达电声,14.08,9.999999999999995,涨停, 09:43:15, 09:54:15,"[{""code"":""002655.SZ"",""time"":1770687795092,""openTime"":1770688200145,""duration"":405053,""updatedTime"":1770688200145,""firstVol"":5.6192799E7,""highestVol"":5.6192799E7,""firstVolDivLTGB"":0.155317476298266,""firstVolDivVol"":2.2975503298531614,""highestVolDivLTGB"":0.155317476298266,""highestVolDivVol"":2.2975503298531614},{""code"":""002655.SZ"",""time"":1770688455179,""openTime"":null,""duration"":12928285,""updatedTime"":1770706800000,""firstVol"":713300.0,""highestVol"":1.81088E7,""firstVolDivLTGB"":0.0019715685606540643,""firstVolDivVol"":0.016310934104306424,""highestVolDivLTGB"":0.05005291006753445,""highestVolDivVol"":0.33007789826004247}]",1,车载声学+AI声学+股份转让完成,2797700,39391616.0,4.585340994110516,0.7732871669903093,1,5094047552.0,首板涨停,放量涨停,33,002655
002723.SZ,小崧股份,10.56,10.000000000000009,涨停, 09:30:00, 09:30:00,"[{""code"":""002723.SZ"",""time"":1770687000000,""openTime"":null,""duration"":14383464,""updatedTime"":1770706800000,""firstVol"":2.57877E7,""highestVol"":2.689319E7,""firstVolDivLTGB"":0.0813200482427622,""firstVolDivVol"":15.328835522796172,""highestVolDivLTGB"":0.08480614821026188,""highestVolDivVol"":9.838695987795465}]",1,短剧游戏+电子烟+一带一路+控制权拟变更,6024810,63621993.6,91.03548002520364,1.8998896367395162,0,3348720492.48,首板涨停,一字涨停||缩量涨停,33,002723
002739.SZ,万达电影,13.87,9.992069785884217,涨停, 14:40:48, 14:40:48,"[{""code"":""002739.SZ"",""time"":1770705648697,""openTime"":null,""duration"":1151303,""updatedTime"":1770706800000,""firstVol"":5.948399E7,""highestVol"":5.948399E7,""firstVolDivLTGB"":0.02832689051234197,""firstVolDivVol"":0.2018247287449607,""highestVolDivLTGB"":0.02832689051234197,""highestVolDivVol"":0.2018247287449607}]",1,春节档影片+IP潮玩+院线龙头+扭亏为盈,4358778,60456250.86,1.4308139907344708,0.20756951101229912,0,29125785653.76,首板涨停,放量涨停,33,002739
002806.SZ,华锋股份,16.1,9.97267759562842,涨停, 09:32:00, 14:49:18,"[{""code"":""002806.SZ"",""time"":1770687120090,""openTime"":1770687180090,""duration"":60000,""updatedTime"":1770687180090,""firstVol"":2.0943111E7,""highestVol"":2.0943111E7,""firstVolDivLTGB"":0.12028954112881972,""firstVolDivVol"":3.4702292264559875,""highestVolDivLTGB"":0.12028954112881972,""highestVolDivVol"":3.4702292264559875},{""code"":""002806.SZ"",""time"":1770687240090,""openTime"":1770702027647,""duration"":9371021,""updatedTime"":1770702027647,""firstVol"":2.3912606E7,""highestVol"":2.3912606E7,""firstVolDivLTGB"":0.137345230273299,""firstVolDivVol"":2.2180324847446884,""highestVolDivLTGB"":0.137345230273299,""highestVolDivVol"":2.2180324847446884},{""code"":""002806.SZ"",""time"":1770706158645,""openTime"":null,""duration"":641355,""updatedTime"":1770706800000,""firstVol"":460600.0,""highestVol"":1201931.0,""firstVolDivLTGB"":0.002645517308480787,""firstVolDivVol"":0.011392599336800334,""highestVolDivLTGB"":0.006903450421406037,""highestVolDivVol"":0.02961236324560672}]",1,实控人变更+新能源商用车+百度概念+电极箔,326832,5261995.2,0.784835240358674,0.18772030242409737,2,2803103943.5,首板涨停,放量涨停,33,002806
002848.SZ,*ST高斯,11.96,5.0043898156277455,涨停, 09:35:45, 09:35:45,"[{""code"":""002848.SZ"",""time"":1770687345091,""openTime"":null,""duration"":14038373,""updatedTime"":1770706800000,""firstVol"":731200.0,""highestVol"":1884700.0,""firstVolDivLTGB"":0.00443349781173656,""firstVolDivVol"":0.4693196405648267,""highestVolDivLTGB"":0.011427534635913422,""highestVolDivVol"":0.7905620805369128}]",1,定增易主+潍坊国资+高频覆铜板,1563000,18693480.0,59.35743581953516,0.9476965371641471,0,1972517495.52,首板涨停,缩量涨停,33,002848
002905.SZ,金逸影视,15.04,10.021945866861735,涨停, 09:54:30, 11:12:23,"[{""code"":""002905.SZ"",""time"":1770688470179,""openTime"":1770688485179,""duration"":15000,""updatedTime"":1770688485179,""firstVol"":1011400.0,""highestVol"":1011400.0,""firstVolDivLTGB"":0.002894345238095238,""firstVolDivVol"":0.04033100614575308,""highestVolDivLTGB"":0.002894345238095238,""highestVolDivVol"":0.04033100614575308},{""code"":""002905.SZ"",""time"":1770693143227,""openTime"":null,""duration"":8240237,""updatedTime"":1770706800000,""firstVol"":3.1538076E7,""highestVol"":3.1538076E7,""firstVolDivLTGB"":0.09025319368131868,""firstVolDivVol"":0.7326597841695132,""highestVolDivLTGB"":0.09025319368131868,""highestVolDivVol"":0.7326597841695132}]",1,影视投资+预计扭亏,5918588,89015563.52,13.078222984397051,1.693735119047619,1,5255577600.0,首板涨停,放量涨停,33,002905
002969.SZ,嘉美包装,30.42,10.018083182640158,涨停, 13:49:57, 14:55:05,"[{""code"":""002969.SZ"",""time"":1770702597649,""openTime"":1770703047652,""duration"":450003,""updatedTime"":1770703047652,""firstVol"":690385.0,""highestVol"":2227900.0,""firstVolDivLTGB"":6.33221151757848E-4,""firstVolDivVol"":0.010280954786091704,""highestVolDivLTGB"":0.0020434299760297655,""highestVolDivVol"":0.03276813268430104},{""code"":""002969.SZ"",""time"":1770703092652,""openTime"":1770703107652,""duration"":15000,""updatedTime"":1770703107652,""firstVol"":114311.0,""highestVol"":114311.0,""firstVolDivLTGB"":1.0484605412717741E-4,""firstVolDivVol"":0.0016336014487492933,""highestVolDivLTGB"":1.0484605412717741E-4,""highestVolDivVol"":0.0016336014487492933},{""code"":""002969.SZ"",""time"":1770703677658,""openTime"":1770706355119,""duration"":2677461,""updatedTime"":1770706355119,""firstVol"":160590.0,""highestVol"":1928399.0,""firstVolDivLTGB"":1.4729315492195344E-4,""firstVolDivVol"":0.002179306540560465,""highestVolDivLTGB"":0.0017687276459202946,""highestVolDivVol"":0.025911968676546857},{""code"":""002969.SZ"",""time"":1770706400119,""openTime"":1770706490119,""duration"":90000,""updatedTime"":1770706490119,""firstVol"":800.0,""highestVol"":239181.0,""firstVolDivLTGB"":7.337600344826125E-7,""firstVolDivVol"":1.0367251056513597E-5,""highestVolDivLTGB"":2.193768235094822E-4,""highestVolDivVol"":0.003077504618682328},{""code"":""002969.SZ"",""time"":1770706505119,""openTime"":null,""duration"":294881,""updatedTime"":1770706800000,""firstVol"":111162.0,""highestVol"":485762.0,""firstVolDivLTGB"":1.0195779119144522E-4,""firstVolDivVol"":0.00142154249035671,""highestVolDivLTGB"":4.455409273379286E-4,""highestVolDivVol"":0.00619442253053794}]",1,追觅入主+三片罐龙头+饮料灌装,172411,5244742.62,0.21778578385614542,0.015813537663147716,4,33166156313.16,首板涨停,缩量涨停,33,002969
300182.SZ,捷成股份,8.45,20.02840909090908,涨停, 09:36:30, 09:36:30,"[{""code"":""300182.SZ"",""time"":1770687390091,""openTime"":null,""duration"":13993373,""updatedTime"":1770706800000,""firstVol"":1.6444128E8,""highestVol"":2.1928716E8,""firstVolDivLTGB"":0.07279699422576602,""firstVolDivVol"":0.4146424950431267,""highestVolDivLTGB"":0.09707687826502343,""highestVolDivVol"":0.5368999024097297}]",2,AI漫剧+影视版权+文化传媒,52085287,440120675.15,11.295114626251216,2.305778899912702,0,19087722381.65,2天2板,放量涨停,33,300182
300251.SZ,光线传媒,25.56,19.99999999999999,涨停, 11:03:23, 11:03:23,"[{""code"":""300251.SZ"",""time"":1770692603223,""openTime"":null,""duration"":8780241,""updatedTime"":1770706800000,""firstVol"":1.6017268E8,""highestVol"":1.723732E8,""firstVolDivLTGB"":0.05771229349036147,""firstVolDivVol"":0.5440599679445788,""highestVolDivLTGB"":0.062108299044960576,""highestVolDivVol"":0.5799609172074645}]",1,春节档+IP运营+动画电影+AI应用,16485049,421357852.44,4.982631116407095,0.5939776908839821,0,70938329655.6,首板涨停,放量涨停,33,300251
300364.SZ,中文在线,42.34,20.01133786848073,涨停, 11:04:38, 11:04:38,"[{""code"":""300364.SZ"",""time"":1770692678224,""openTime"":null,""duration"":8705240,""updatedTime"":1770706800000,""firstVol"":3.7606255E7,""highestVol"":3.7632755E7,""firstVolDivLTGB"":0.05694368167702648,""firstVolDivVol"":0.17281582652471045,""highestVolDivLTGB"":0.056983808181631665,""highestVolDivVol"":0.17206812667420365}]",2,AI短剧+海外短剧+腾讯合作+文生视频,6027010,255183603.4,2.563098210479864,0.9126145076244773,0,27961817532.82,2天2板,放量涨停,33,300364
300528.SZ,幸福蓝海,29.46,20.0,涨停, 11:09:38, 14:56:20,"[{""code"":""300528.SZ"",""time"":1770692978227,""openTime"":1770693128227,""duration"":150000,""updatedTime"":1770693128227,""firstVol"":3.21509E7,""highestVol"":3.36132E7,""firstVolDivLTGB"":0.08628611124975843,""firstVolDivVol"":0.5264799731969425,""highestVolDivLTGB"":0.09021061042335923,""highestVolDivVol"":0.5384852974347407},{""code"":""300528.SZ"",""time"":1770706580121,""openTime"":null,""duration"":219879,""updatedTime"":1770706800000,""firstVol"":1.220144E7,""highestVol"":1.220144E7,""firstVolDivLTGB"":0.03274604472183524,""firstVolDivVol"":0.13984034844652213,""highestVolDivLTGB"":0.03274604472183524,""highestVolDivVol"":0.13984034844652213}]",1,影视院线+春节档+江苏国资,3704400,109131624.0,4.210308907945955,0.9941814086498517,1,10977033270.84,首板涨停,放量涨停,33,300528
300749.SZ,顶固集创,25.72,20.018665422305176,涨停, 09:39:00, 14:44:22,"[{""code"":""300749.SZ"",""time"":1770687540091,""openTime"":1770687585092,""duration"":45001,""updatedTime"":1770687585092,""firstVol"":1.256426E7,""highestVol"":1.256426E7,""firstVolDivLTGB"":0.07982599259445626,""firstVolDivVol"":0.8392824697533239,""highestVolDivLTGB"":0.07982599259445626,""highestVolDivVol"":0.8392824697533239},{""code"":""300749.SZ"",""time"":1770688650182,""openTime"":1770688680183,""duration"":30001,""updatedTime"":1770688680183,""firstVol"":4533900.0,""highestVol"":4533900.0,""firstVolDivLTGB"":0.028805760770949124,""firstVolDivVol"":0.1715839508322043,""highestVolDivLTGB"":0.028805760770949124,""highestVolDivVol"":0.1715839508322043},{""code"":""300749.SZ"",""time"":1770688710184,""openTime"":1770688725184,""duration"":15000,""updatedTime"":1770688725184,""firstVol"":56900.0,""highestVol"":56900.0,""firstVolDivLTGB"":3.615094704045094E-4,""firstVolDivVol"":0.002123974407788155,""highestVolDivLTGB"":3.615094704045094E-4,""highestVolDivVol"":0.002123974407788155},{""code"":""300749.SZ"",""time"":1770688740184,""openTime"":1770688770184,""duration"":30000,""updatedTime"":1770688770184,""firstVol"":47000.0,""highestVol"":48800.0,""firstVolDivLTGB"":2.986106346047793E-4,""firstVolDivVol"":0.0017465236746858116,""highestVolDivLTGB"":3.100467865683666E-4,""highestVolDivVol"":0.0018129604380825715},{""code"":""300749.SZ"",""time"":1770689685255,""openTime"":1770704669351,""duration"":9567560,""updatedTime"":1770704669351,""firstVol"":2001680.0,""highestVol"":2576740.0,""firstVolDivLTGB"":0.012717509256929672,""firstVolDivVol"":0.06842821249173825,""highestVolDivLTGB"":0.016371105672585512,""highestVolDivVol"":0.08669849049998886},{""code"":""300749.SZ"",""time"":1770704834351,""openTime"":1770704849351,""duration"":15000,""updatedTime"":1770704849351,""firstVol"":200.0,""highestVol"":200.0,""firstVolDivLTGB"":1.2706835515096992E-6,""firstVolDivVol"":6.082299225887531E-6,""highestVolDivLTGB"":1.2706835515096992E-6,""highestVolDivVol"":6.082299225887531E-6},{""code"":""300749.SZ"",""time"":1770704864351,""openTime"":1770705036403,""duration"":172052,""updatedTime"":1770705036403,""firstVol"":10180.0,""highestVol"":705320.0,""firstVolDivLTGB"":6.467779277184369E-5,""firstVolDivVol"":3.0879718279901413E-4,""highestVolDivLTGB"":0.0044811926127541046,""highestVolDivVol"":0.02136285776471671},{""code"":""300749.SZ"",""time"":1770705067673,""openTime"":1770705712006,""duration"":644333,""updatedTime"":1770705712006,""firstVol"":104000.0,""highestVol"":540300.0,""firstVolDivLTGB"":6.607554467850436E-4,""firstVolDivVol"":0.0031058606934275985,""highestVolDivLTGB"":0.003432751614403452,""highestVolDivVol"":0.016099292018511534},{""code"":""300749.SZ"",""time"":1770705727006,""openTime"":1770705787077,""duration"":60071,""updatedTime"":1770705787077,""firstVol"":17800.0,""highestVol"":18500.0,""firstVolDivLTGB"":1.1309083608436322E-4,""firstVolDivVol"":5.224669291642273E-4,""highestVolDivLTGB"":1.1753822851464717E-4,""highestVolDivVol"":5.42943260785744E-4},{""code"":""300749.SZ"",""time"":1770705862077,""openTime"":null,""duration"":937923,""updatedTime"":1770706800000,""firstVol"":2140.0,""highestVol"":525800.0,""firstVolDivLTGB"":1.3596314001153781E-5,""firstVolDivVol"":6.246697496551327E-5,""highestVolDivLTGB"":0.003340627056918999,""highestVolDivVol"":0.015276356494261546}]",2,商业航天+扭亏为盈+大家居定制,362400,9320928.0,1.0491392628731329,0.23024785953355748,9,4048214832.0,2天2板,放量涨停,33,300749
301025.SZ,读客文化,13.9,20.034542314335063,涨停, 10:26:15, 10:26:15,"[{""code"":""301025.SZ"",""time"":1770690375259,""openTime"":null,""duration"":11008205,""updatedTime"":1770706800000,""firstVol"":8.935208E7,""highestVol"":9.053488E7,""firstVolDivLTGB"":0.3223952423868686,""firstVolDivVol"":2.3423887598995736,""highestVolDivLTGB"":0.32666295605055934,""highestVolDivVol"":2.3493518767034836}]",1,文化传媒+字节合作+IP孵化,11457412,159258026.8,26.278300938317432,4.134000147356633,0,3852395286.0,首板涨停,放量涨停,33,301025
301085.SZ,亚康股份,77.82,20.0,涨停, 09:51:15, 13:05:08,"[{""code"":""301085.SZ"",""time"":1770688275177,""openTime"":1770688290178,""duration"":15001,""updatedTime"":1770688290178,""firstVol"":1.12638E7,""highestVol"":1.12638E7,""firstVolDivLTGB"":0.19119787698690016,""firstVolDivVol"":1.067096999361663,""highestVolDivLTGB"":0.19119787698690016,""highestVolDivVol"":1.067096999361663},{""code"":""301085.SZ"",""time"":1770699908271,""openTime"":null,""duration"":6891729,""updatedTime"":1770706800000,""firstVol"":9470694.0,""highestVol"":9470694.0,""firstVolDivLTGB"":0.16076071897517477,""firstVolDivVol"":0.5421956455777367,""highestVolDivLTGB"":0.16076071897517477,""highestVolDivVol"":0.5421956455777367}]",1,算力租赁+昇腾一体机+字节合作,483300,37610406.0,2.469672291401095,0.8203797470460134,1,4584511762.44,首板涨停,放量涨停,33,301085
301231.SZ,荣信文化,50.69,20.004734848484837,涨停, 09:30:00, 09:30:00,"[{""code"":""301231.SZ"",""time"":1770687000000,""openTime"":null,""duration"":14383464,""updatedTime"":1770706800000,""firstVol"":8511024.0,""highestVol"":8920267.0,""firstVolDivLTGB"":0.15790616752552217,""firstVolDivVol"":22.130928607089366,""highestVolDivLTGB"":0.16549890768424422,""highestVolDivVol"":12.200607823747527}]",2,AI互动玩具+阿里合作+少儿图书,3284542,166493433.98,162.44363137117585,6.0938547382384725,0,2732152982.5,2天2板,一字涨停||缩量涨停,33,301231
600088.SH,中视传媒,20.01,10.005497526113249,涨停, 11:22:08, 11:29:53,"[{""code"":""600088.SH"",""time"":1770693728231,""openTime"":1770693923232,""duration"":195001,""updatedTime"":1770693923232,""firstVol"":1.26281E7,""highestVol"":1.26281E7,""firstVolDivLTGB"":0.03175231779020906,""firstVolDivVol"":0.611297114959931,""highestVolDivLTGB"":0.03175231779020906,""highestVolDivVol"":0.611297114959931},{""code"":""600088.SH"",""time"":1770694193235,""openTime"":null,""duration"":7190229,""updatedTime"":1770706800000,""firstVol"":3773280.0,""highestVol"":1.060728E7,""firstVolDivLTGB"":0.009487601909348203,""firstVolDivVol"":0.15206869819347893,""highestVolDivLTGB"":0.02667113227245023,""highestVolDivVol"":0.42715491489423735}]",1,影视院线+AI融媒体+央企,1253589,25084315.89,4.439386700570053,0.3152046333677306,1,7958105064.0,首板涨停,放量涨停,17,600088
600107.SH,ST尔雅,6.49,5.016181229773471,涨停, 09:58:45, 09:58:45,"[{""code"":""600107.SH"",""time"":1770688725184,""openTime"":null,""duration"":12658280,""updatedTime"":1770706800000,""firstVol"":1568400.0,""highestVol"":2199100.0,""firstVolDivLTGB"":0.004356666666666667,""firstVolDivVol"":0.37718143692082967,""highestVolDivLTGB"":0.0061086111111111115,""highestVolDivVol"":0.509379782456776}]",1,服装+出售资产+*ST风险,660900,4289241.0,11.25374635326002,0.18358333333333335,0,2336400000.0,首板涨停,缩量涨停,22,600107
600207.SH,安彩高科,5.61,10.000000000000014,涨停, 10:51:53, 10:51:53,"[{""code"":""600207.SH"",""time"":1770691913213,""openTime"":null,""duration"":9470251,""updatedTime"":1770706800000,""firstVol"":8.58121E7,""highestVol"":8.58121E7,""firstVolDivLTGB"":0.07877638028212791,""firstVolDivVol"":1.1962208320446963,""highestVolDivLTGB"":0.07877638028212791,""highestVolDivVol"":1.1962208320446963}]",1,光伏玻璃+光热玻璃+高纯石英砂+河南国资,24149132,135476630.52,29.74801478757368,2.216914870881035,0,6111043427.94,首板涨停,放量涨停,17,600207
600381.SH,*ST春天,3.3,5.095541401273875,涨停, 11:15:53, 13:12:23,"[{""code"":""600381.SH"",""time"":1770693353227,""openTime"":1770693893232,""duration"":540005,""updatedTime"":1770693893232,""firstVol"":494360.0,""highestVol"":829960.0,""firstVolDivLTGB"":8.42093441911831E-4,""firstVolDivVol"":0.028973731171411773,""highestVolDivLTGB"":0.0014137549013859198,""highestVolDivVol"":0.04856108330838851},{""code"":""600381.SH"",""time"":1770694013232,""openTime"":1770699638268,""duration"":208500,""updatedTime"":1770699638268,""firstVol"":21660.0,""highestVol"":108360.0,""firstVolDivLTGB"":3.6895671073327656E-5,""firstVolDivVol"":0.0012131767801324884,""highestVolDivLTGB"":1.8458055944163367E-4,""highestVolDivVol"":0.0060495243675913425},{""code"":""600381.SH"",""time"":1770700163274,""openTime"":1770700178274,""duration"":15000,""updatedTime"":1770700178274,""firstVol"":360.0,""highestVol"":360.0,""firstVolDivLTGB"":6.132244499722048E-7,""firstVolDivVol"":1.9385111792593518E-5,""highestVolDivLTGB"":6.132244499722048E-7,""highestVolDivVol"":1.9385111792593518E-5},{""code"":""600381.SH"",""time"":1770700343275,""openTime"":null,""duration"":6456725,""updatedTime"":1770706800000,""firstVol"":253324.0,""highestVol"":655524.0,""firstVolDivLTGB"":4.315124182354412E-4,""firstVolDivVol"":0.013554284152530053,""highestVolDivLTGB"":0.0011166204009543878,""highestVolDivVol"":0.03476439486260983}]",3,ST板块+高端白酒+中药大健康,94010,310233.0,0.482989208445884,0.01601367515052416,3,1937300445.3,3天3板,放量涨停,22,600381
600482.SH,中国动力,29.85,9.985261606484897,涨停, 13:45:27, 13:45:27,"[{""code"":""600482.SH"",""time"":1770702327647,""openTime"":null,""duration"":4472353,""updatedTime"":1770706800000,""firstVol"":8389178.0,""highestVol"":1.2830478E7,""firstVolDivLTGB"":0.003722566068360549,""firstVolDivVol"":0.18126535180591688,""highestVolDivLTGB"":0.005693323236632543,""highestVolDivVol"":0.27633370736424506}]",1,柴油机+军工舰船动力+固态电池+央企,4397569,131267434.65,8.480783838539056,0.19513522233852032,0,67269984924.75,首板涨停,放量涨停,17,600482
600589.SH,大位科技,11.45,9.990393852065313,涨停, 09:30:00, 09:30:00,"[{""code"":""600589.SH"",""time"":1770687000000,""openTime"":null,""duration"":14383464,""updatedTime"":1770706800000,""firstVol"":9.4519531E7,""highestVol"":1.11095737E8,""firstVolDivLTGB"":0.0639306431867882,""firstVolDivVol"":6.076406562988804,""highestVolDivLTGB"":0.07514237371448938,""highestVolDivVol"":6.00346706772014}]",2,算力租赁+东数西算+IDC,42597748,487744214.59999996,116.48451281140335,2.881204973339024,0,16928480240.5,2天2板,一字涨停||缩量涨停,17,600589
600696.SH,*ST岩石,2.02,5.208333333333338,涨停, 09:42:45, 09:48:00,"[{""code"":""600696.SH"",""time"":1770687765092,""openTime"":1770687915095,""duration"":150003,""updatedTime"":1770687915095,""firstVol"":3343300.0,""highestVol"":3343300.0,""firstVolDivLTGB"":0.009995831278225243,""firstVolDivVol"":0.5548953544339513,""highestVolDivLTGB"":0.009995831278225243,""highestVolDivVol"":0.5548953544339513},{""code"":""600696.SH"",""time"":1770688035144,""openTime"":1770688050144,""duration"":15000,""updatedTime"":1770688050144,""firstVol"":26800.0,""highestVol"":26800.0,""firstVolDivLTGB"":8.01269040338697E-5,""firstVolDivVol"":0.003402526502888339,""highestVolDivLTGB"":8.01269040338697E-5,""highestVolDivVol"":0.003402526502888339},{""code"":""600696.SH"",""time"":1770688080144,""openTime"":null,""duration"":13303320,""updatedTime"":1770706800000,""firstVol"":13400.0,""highestVol"":2204533.0,""firstVolDivLTGB"":4.006345201693485E-5,""firstVolDivVol"":0.001678377735192074,""highestVolDivLTGB"":0.0065911344824813,""highestVolDivVol"":0.24971582436082146}]",1,酱香型白酒+退市风险+ST板块,1957933,3955024.66,21.87007368947923,0.5853847372975619,2,675628250.62,首板涨停,放量涨停,22,600696
600715.SH,文投控股,2.61,10.126582278481003,涨停, 09:35:30, 09:35:30,"[{""code"":""600715.SH"",""time"":1770687330091,""openTime"":null,""duration"":14053373,""updatedTime"":1770706800000,""firstVol"":1.629686E8,""highestVol"":1.76558E8,""firstVolDivLTGB"":0.05693480312087753,""firstVolDivVol"":2.9525757581247714,""highestVolDivLTGB"":0.06168240366190723,""highestVolDivVol"":3.1101896152030384}]",1,AI漫剧+小程序游戏+北京国资,23537500,61432875.0,15.633712286770113,0.8223074435551725,0,7470791549.01,首板涨停,放量涨停,17,600715
600977.SH,中国电影,20.74,10.026525198938977,涨停, 10:58:23, 10:58:23,"[{""code"":""600977.SH"",""time"":1770692303216,""openTime"":null,""duration"":9080248,""updatedTime"":1770706800000,""firstVol"":1.0729156E8,""highestVol"":1.1121856E8,""firstVolDivLTGB"":0.057467359400107124,""firstVolDivVol"":0.9077773857961751,""highestVolDivLTGB"":0.059570733797536156,""highestVolDivVol"":0.9386983075393052}]",1,影视院线+央企,14227959,295087869.65999997,10.662679896051912,0.7620760042849491,0,38721580000.0,首板涨停,放量涨停,17,600977
601595.SH,上海电影,35.78,9.990777743621273,涨停, 09:30:30, 09:48:15,"[{""code"":""601595.SH"",""time"":1770687030090,""openTime"":1770687105090,""duration"":75000,""updatedTime"":1770687105090,""firstVol"":2183240.0,""highestVol"":2637980.0,""firstVolDivLTGB"":0.004871128960285587,""firstVolDivVol"":0.19260392256567863,""highestVolDivLTGB"":0.005885720660419456,""highestVolDivVol"":0.19778747761846777},{""code"":""601595.SH"",""time"":1770687270090,""openTime"":1770688080144,""duration"":810054,""updatedTime"":1770688080144,""firstVol"":1.013048E7,""highestVol"":1.134038E7,""firstVolDivLTGB"":0.022602588130298973,""firstVolDivVol"":0.3686837199130763,""highestVolDivLTGB"":0.025302052655064702,""highestVolDivVol"":0.3901592742620104},{""code"":""601595.SH"",""time"":1770688095144,""openTime"":null,""duration"":13288320,""updatedTime"":1770706800000,""firstVol"":8361500.0,""highestVol"":1.179138E7,""firstVolDivLTGB"":0.018655734047300313,""firstVolDivVol"":0.24781506188619168,""highestVolDivLTGB"":0.02630829986613119,""highestVolDivVol"":0.3454753461285668}]",2,AI影视+即梦合作+上海国资,6293386,225177351.08,16.553317284640755,1.4041468094600624,2,16036596000.0,2天2板,放量涨停,17,601595
